Pipeline,audio_name,gold_transcript,predicted_transcript,gold_role,predicted_role
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210413_040538.wav,Swiss Two Eight Nine the wind three two zero degrees three knots runway one four you are cleared to land,two to it downwind three to the degrees three knots runway one four you cleopatra,ATC,Pilot
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210413_053348.wav,Air Canada Seven Two One Six when did you see the lights,Air Canada Seven Two One Six when did you see the lights,ATC,ATC
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210413_080112.wav,wind check for runway one four three four degrees two knots,wind check for runway four three degrees two knots,ATC,ATC
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210413_204447.wav,Swiss Niner Two identified climb to flight level one two zero and report passing altitude,Swiss Niner Two identified climb to flight level one two zero and report pass on altitude,ATC,ATC
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210414_055559.wav,Singapore Three Four Six contact apron one two one decimal eight five five,report three four six contact apron one two one decimal eight five five,ATC,Pilot
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210414_055758.wav,Singapore Three Four Six contact apron one two one decimal seven five five bye bye,Sion Four Four Six contact day from one to one decimal seven five five bye bye,Other,ATC
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210414_064502.wav,Oscar Charlie Kilo contact departure one two five decimal niner five five good bye one two five niner five five Oskar Papa Charlie Kilo,,ATC,
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210414_071700.wav,Hotel Sierra Kilo wind zero three zero degrees one one knots runway two cleared takeoff,,Other,
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210414_081018.wav,United One Three Five wind zero three zero degrees one zero knots runway two eight cleared takeoff,,ATC,
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210414_083710.wav,Tower guten morgen Swiss One Nine Seven heavy RNP one four established Swiss One Nine Seven Tower guten morgen wind zero eight zero degrees one two knots gusting one nine runway one four cleared to land vacate hotel two,tower one nine seven tower good morning wind zero eight zero degrees one two knots gusting one niner runway one four cleared to land track two,Pilot,Pilot
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210414_112229.wav,two hundred Turkish Six Three Two Nine wind zero seven zero degrees one three gusting two zero knots runway one,Turkish Six Three Two Nine wind zero seven zero degrees one three gusting two zero knots runway one one,Other,Pilot
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210414_112539.wav,Qatari Zero Two Mike on taxiway juliett cross runway one zero contact apron one two one decimal seven five five good bye,Qatar is over to my contact to Juliet cross runway one zero contact apron one two one decimal seven five five good bye,ATC,ATC
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210414_112740.wav,Royalair Maroc Three Five Two contact apron one two one decimal eight five five good bye one two one decimal eight five five good bye Royalair Maroc Three Five Two,Roland Amorok Three Five Two contact Zirkka one two one decimal eight five five good bye,ATC,Pilot
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210414_123120.wav,Hotel India Victor after whiskey two join wide right base runway one zero number one,Hotel India Victor after whiskey two join wide right base runway one zero number one,ATC,ATC
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210414_162532.wav,Air Nostrum Seven Eight Juliett Mike zero two zero degrees one three,Radarstrom Seven Eight Three Mike zero two zero degrees one three,ATC,Pilot
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210418_101741.wav,Swiss Three Three Two behind challenger line up to eight behind,Swiss Three Three Two behind challenger line up to it behind,Other,ATC
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210422_110047.wav,Rega One in case you still with me you may leave the frequency,Herr Rega one in case you're still with me you may leave the frequency,ATC,ATC
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210424_081042.wav,Hotel Oscar Echo the second traffic is now to overhead whiskey one oposite,Hotel Oscar Echo the second traffic is now to overhead whiskey one opposite,ATC,ATC
ASR + Role,LSZH_ZURICH_Tower_118_1MHz_20210424_092648.wav,Hotel Delta Charlie your're at the CTR frequency change approved bye bye,Hotel Hotel Charlie you're at ZPR frequency change approved bye bye,ATC,ATC
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210423_120826.wav,Slovak Airforce Seven Four Four Five frequency change approved dopočutia pekný let,So I get first seven four four five frequency change approved the appropriate frequency change approved,ATC,ATC
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210425_120446.wav,taxi holding point three one via Foxtrot cross runway zero four Slovak Government Zero Zero Four,Siegfried Holding Point Bravo Foxtrot cross runway zero four full stop go ahead zero zero four,Pilot,ATC
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210425_130418.wav,QNH one zero one eight after keep the proceeding to victor,QNH One Zero One Eight after Kicsi proceeding to Victor,ATC,ATC
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210426_203652.wav,holding point runway three one via foxtrot and cross runway zero four Eurotrans Two One correction One Three Juliett thank you,Hotel Alpha Romeo X-ray foxtrot and cross runway zero four your transfer two one quick one three join you,Pilot,Pilot
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210427_143155.wav,stefanik tower Oscar Mike Charlie India Alpha final runway one three Oscar Mike Charlie India Alpha Oscar Mike Charlie India Alpha runway one three cleared to land wind one three zero degrees eight knots,,Pilot,
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210427_163922.wav,looking out for a traffic Oscar Mike Kilo Lima Lima roger just traffic is on your eleven o'clock one mile,Roger just traffic is on your eleven o'clock one mile,Pilot,ATC
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210430_000651.wav,Eurotrans Five Three Three Five approaching fox one six ready for departure,Air Iberia Five Three Two Five approaching fox one section ready for departure,Pilot,ATC
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210430_104342.wav,Stefanik tower good day Austrian One Four One One ILS three one,Stefanik tower good day Austrian One Four One One Iestriwan,Pilot,Pilot
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210430_150028.wav,roger position start approved position five Foxtrot and squawk four four two three for Wizzair Six Two Seven Six,Radar position start approved position five foxtrot ten clock four four two three four wizard six two seven six,ATC,Pilot
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210430_181535.wav,Oscar Golf Echo continue to final runway two two traffic is just now before shortly before landing,Oscar Golf Echo continue to final runway two two traffic is just now before shortly before landing,ATC,ATC
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210430_203041.wav,One Three Juliett correction position two foxtrot two foxtrot Eurotrans One Three Juliett,Two Fox Busters here at the transponder Juliet,ATC,ATC
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210503_131815.wav,Delta Bravo Bravo line up runway three one report ready for departure Delta Bravo Bravo lining up runway three one we are ready for departure roger,Delta Bravo Bravo one approach runway three three ready for departure,ATC,Pilot
ASR + Role,LZIB_STEFANIK_Tower_118_3MHz_20210505_145115.wav,Topjet Four Zero Two via delta foxtrot ten three three delta foxtrot ten three three Topjet Four Zero Two,Project Four Zero Two via delta foxtrot stand three three,ATC,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210427_090118.wav,Sydney tower good evening Singapore Seventy Two Ninety Eight is one six right,Sydney tower good evening Singapore Seventy Two Ninety Eight is one six right,ATC,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210428_013626.wav,Tower good day Jetstar seven sixty three Jetstar seven sixty three Sydney Tower(to-),Swiss Air Lines ZS 73 ZNITZ Swiss Air Lines ZS 73 ZNITZ,ATC,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210429_013422.wav,Sydney tower good morning Jetstar Seven Forty Six established Jetstar Seven Forty Six Sydney tower,Sydney tower good morning jetstar seven forty six established,Pilot,Pilot
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210430_044251.wav,Sydney tower Rex Sixty One Seventy Five Rex Sixty One Seventy Five Sydney tower good afternoon,Victor Six One Seventy Five Sydney Hotel good afternoon,Pilot,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210430_224017.wav,Sydney tower good day Qlink Four Zero Two Qlink Four Zero Two Sydney tower good morning,Sydney tower killing cold zero two sundytag good morning,ATC,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210501_200237.wav,Twinjet Five Zero on a short delay waiting on our release from the back,Jetstar Five Zero One short delay waiting on our release from Dubai,Pilot,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210502_040816.wav,Sydney tower Qantas Six Forty Two Qantas Six Forty Two Sydney tower good day,Sydney tower Qantas Six Forty Two,Pilot,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210502_074234.wav,roger cleared to land runway three four left exit on the high speed on right,Cleared to land runway three four left exit on the high speed on the right,Other,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210502_235050.wav,tower Viet Nam Seven Seven Three good morning Viet Nam Seven Seven Three heavy Sydney tower good morning continue approach threshold wind two seven zero degrees seven knots,Vietnam Seven Seven Three Heavy City tower good morning continue approach threshold wind two seven zero degrees seven knots,Pilot,Pilot
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210503_055244.wav,tower Bauhinia Two Zero One Seven established ILS three four left,tower tower bohnia two zero one seven stand salle s three four left,Pilot,Pilot
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210503_075426.wav,hello Sydney good evening Jetstar Four Seventy Five climbing flight level two eight zero,Hotel Alpha Charlie Echo X-ray Kilo November four seventy five climbing flight level two eight zero,Pilot,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210503_122443.wav,tower United Twenty Twelve is just outside Gala for one six right,tower sorry United Twenty Twelve is just outside gala for one six right,Pilot,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210503_201130.wav,Sydney tower good morning American Seventy Three ILS three four left,Zodiac tower good morning American Seventy Three ILS three four left,Pilot,Pilot
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210504_044333.wav,two seven five and four knots Qantas Four Forty Six,two seven five and four knots Qantas Four Forty Six,Pilot,Pilot
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210504_065016.wav,tower good afternoon China Southern Three Zero One established ILS one six right China Southern Three Zero One heavy Sydney tower good afternoon,Sierra Seven Seven Three Zero One Hebbie check you out good afternoon,Pilot,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210504_065130.wav,cleared to land runway one six right China Southern Three Zero One,Cleared to land runway one six roger China Southern Three Zero One,ATC,Pilot
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210504_093243.wav,tower Connie Eight Thirty Five on the ILS one six three,Tower County Eight Thirty Five on the ILS one six right,Other,ATC
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210505_054947.wav,Sydney tower good afternoon Fedex Seventy Seven heavy inbound ILS runway one six right Fedex Seventy Seven heavy Sydney tower good day,Sydney tower good afternoon Fedex Seventy Seven Heavy inbound ILS runway one six right,Pilot,Pilot
ASR + Role,YSSY_SYDNEY_Tower_120_5MHz_20210505_203701.wav,one six right cleared to land Qantas Seven Seven Zero Two,one six right clear lane one seven seven zero two,Pilot,ATC
